,"p_{n,n-1}","p_{n,n}","p_{n,n+1}"
n=99,1.420771e-02,9.722269e-01,1.356538e-02
n=100,1.436233e-02,9.719445e-01,1.369313e-02
n=101,1.451681e-02,9.716622e-01,1.382103e-02
n=102,1.467117e-02,9.713798e-01,1.394905e-02
n=103,1.482540e-02,9.710974e-01,1.407721e-02
n=104,1.497951e-02,9.708150e-01,1.420549e-02
n=105,1.513349e-02,9.705326e-01,1.433390e-02
n=106,1.528735e-02,9.702502e-01,1.446243e-02
n=107,1.544109e-02,9.699678e-01,1.459108e-02
n=108,1.559472e-02,9.696854e-01,1.471985e-02
n=109,1.574823e-02,9.694030e-01,1.484873e-02
n=110,1.590163e-02,9.691206e-01,1.497773e-02
n=111,1.605492e-02,9.688382e-01,1.510684e-02
n=112,1.620810e-02,9.685558e-01,1.523606e-02
n=113,1.636117e-02,9.682734e-01,1.536538e-02
n=114,1.651413e-02,9.679911e-01,1.549481e-02
n=115,1.666700e-02,9.677087e-01,1.562435e-02
n=116,1.681976e-02,9.674263e-01,1.575398e-02
n=117,1.697242e-02,9.671439e-01,1.588371e-02
n=118,1.712498e-02,9.668615e-01,1.601354e-02
n=119,1.727745e-02,9.665791e-01,1.614347e-02
n=120,1.742982e-02,9.662967e-01,1.627349e-02
n=121,1.758210e-02,9.660143e-01,1.640360e-02
n=122,1.773428e-02,9.657319e-01,1.653380e-02
n=123,1.788637e-02,9.654495e-01,1.666409e-02
n=124,1.803837e-02,9.651672e-01,1.679447e-02
n=125,1.819029e-02,9.648848e-01,1.692494e-02
n=126,1.834212e-02,9.646024e-01,1.705549e-02
n=127,1.849386e-02,9.643200e-01,1.718612e-02
n=128,1.864552e-02,9.640376e-01,1.731683e-02
n=129,1.879709e-02,9.637553e-01,1.744763e-02
n=130,1.894859e-02,9.634729e-01,1.757850e-02
n=131,1.910000e-02,9.631905e-01,1.770946e-02
n=132,1.925133e-02,9.629082e-01,1.784049e-02
n=133,1.940259e-02,9.626258e-01,1.797159e-02
n=134,1.955377e-02,9.623435e-01,1.810277e-02
n=135,1.970487e-02,9.620611e-01,1.823402e-02
n=136,1.985589e-02,9.617788e-01,1.836535e-02
n=137,2.000685e-02,9.614964e-01,1.849674e-02
n=138,2.015773e-02,9.612141e-01,1.862821e-02
n=139,2.030854e-02,9.609317e-01,1.875974e-02
n=140,2.045927e-02,9.606494e-01,1.889135e-02
n=141,2.060994e-02,9.603670e-01,1.902302e-02
n=142,2.076054e-02,9.600847e-01,1.915475e-02
n=143,2.091107e-02,9.598024e-01,1.928655e-02
n=144,2.106154e-02,9.595200e-01,1.941842e-02
n=145,2.121193e-02,9.592377e-01,1.955034e-02
n=146,2.136227e-02,9.589554e-01,1.968233e-02
n=147,2.151254e-02,9.586731e-01,1.981438e-02
n=148,2.166274e-02,9.583908e-01,1.994649e-02
n=149,2.181288e-02,9.581085e-01,2.007867e-02
n=150,2.196296e-02,9.578261e-01,2.021090e-02
n=151,2.211298e-02,9.575438e-01,2.034318e-02
n=152,2.226294e-02,9.572615e-01,2.047553e-02
n=153,2.241284e-02,9.569792e-01,2.060793e-02
n=154,2.256269e-02,9.566969e-01,2.074039e-02
n=155,2.271247e-02,9.564146e-01,2.087290e-02
n=156,2.286220e-02,9.561323e-01,2.100546e-02
n=157,2.301187e-02,9.558501e-01,2.113808e-02
n=158,2.316148e-02,9.555678e-01,2.127076e-02
n=159,2.331104e-02,9.552855e-01,2.140348e-02
n=160,2.346054e-02,9.550032e-01,2.153626e-02
n=161,2.360999e-02,9.547209e-01,2.166908e-02
n=162,2.375939e-02,9.544386e-01,2.180196e-02
n=163,2.390874e-02,9.541564e-01,2.193489e-02
n=164,2.405803e-02,9.538741e-01,2.206786e-02
n=165,2.420727e-02,9.535918e-01,2.220089e-02
n=166,2.435647e-02,9.533096e-01,2.233396e-02
n=167,2.450561e-02,9.530273e-01,2.246708e-02
n=168,2.465470e-02,9.527451e-01,2.260024e-02
n=169,2.480374e-02,9.524628e-01,2.273346e-02
n=170,2.495274e-02,9.521805e-01,2.286671e-02
n=171,2.510169e-02,9.518983e-01,2.300002e-02
n=172,2.525059e-02,9.516160e-01,2.313336e-02
n=173,2.539944e-02,9.513338e-01,2.326675e-02
n=174,2.554825e-02,9.510516e-01,2.340019e-02
n=175,2.569701e-02,9.507693e-01,2.353366e-02
n=176,2.584573e-02,9.504871e-01,2.366718e-02
n=177,2.599441e-02,9.502049e-01,2.380074e-02
n=178,2.614304e-02,9.499226e-01,2.393434e-02
n=179,2.629162e-02,9.496404e-01,2.406799e-02
n=180,2.644016e-02,9.493582e-01,2.420167e-02
n=181,2.658866e-02,9.490759e-01,2.433539e-02
n=182,2.673712e-02,9.487937e-01,2.446916e-02
n=183,2.688554e-02,9.485115e-01,2.460296e-02
n=184,2.703391e-02,9.482293e-01,2.473680e-02
n=185,2.718225e-02,9.479471e-01,2.487068e-02
n=186,2.733054e-02,9.476649e-01,2.500460e-02
n=187,2.747880e-02,9.473827e-01,2.513855e-02
n=188,2.762701e-02,9.471004e-01,2.527254e-02
n=189,2.777519e-02,9.468182e-01,2.540657e-02
n=190,2.792333e-02,9.465360e-01,2.554063e-02
n=191,2.807143e-02,9.462538e-01,2.567473e-02
n=192,2.821949e-02,9.459716e-01,2.580887e-02
n=193,2.836751e-02,9.456894e-01,2.594304e-02
n=194,2.851550e-02,9.454073e-01,2.607725e-02
n=195,2.866345e-02,9.451251e-01,2.621149e-02
n=196,2.881137e-02,9.448429e-01,2.634576e-02
n=197,2.895924e-02,9.445607e-01,2.648007e-02
n=198,2.910709e-02,9.442785e-01,2.661441e-02
n=199,2.925489e-02,9.439963e-01,2.674878e-02
n=200,2.940267e-02,9.705973e-01,0.000000e+00
